번호,번호2,학년-반-번호,자료명,저자명,청구기호,대출일,반납일
130,A100410,,(세계 1등을 키워낸)그 어머니들의 자녀교육 심리,강현식;박지영 지음,598.1 강94ㄱ,2014.10.02,2014.10.10
131,A100410,,동물농장. 5,조지 오웰 지음;도정일 옮김,808.3 세14 v.5,2014.10.02,2014.10.10
132,A100212,,사소한 것에 목숨 걸지 마라,리처드 칼슨 지음;강 정 옮김,199.1 칼57ㅅ c.3,2014.10.10,2014.12.05
133,A100374,,나의 삼촌 브루스 리. 1,천명관 지음,813.6 천34ㄴ v.1,2014.10.16,2014.10.23
134,A100374,,나의 삼촌 브루스 리. 2,천명관 지음,813.6 천34ㄴ v.2,2014.10.16,2014.10.23
135,A100374,,프린세스 바리,박정윤 지음,813.6 박74ㅍ,2014.10.23,2014.10.30
136,A100374,,에메랄드궁,박향 저,813.6 박93ㅇ,2014.10.23,2014.10.30
137,A100374,,탐정은 죽지 않는다,이슬기 지음,813.6 이57ㅌ c.2,2014.10.30,2014.11.06
138,A100374,,통영의 딸,이수광 지음,813.6 이56ㅌ,2014.10.30,2014.11.06
139,A100374,,나흘,이현수 지음,813.6 이94ㄴ,2014.10.30,2014.11.06
140,A100494,,생명연습,김승옥 지음,813.6 김57ㅅ,2014.11.04,2014.11.05
141,A100494,,(가토 슈이치의) 독서만능,가토 슈이치 지음;이규원 옮김,029.4 가885ㄷ,2014.11.07,2014.11.10
142,A100494,,너는 모른다,정이현 지음,813.6 정68ㄴ,2014.11.12,2014.12.23
143,A100494,,성균관 유생들의 나날. 1,정은궐 지음,813.6 정67ㅅ v.1,2014.11.12,2014.12.23
144,A100374,,변경. 8,이문열 지음,813.6 이36ㅂ v.8,2014.11.27,2014.12.04
145,A100374,,변경. 9,이문열 지음,813.6 이36ㅂ v.9,2014.11.27,2014.12.04
146,A100374,,변경. 10,이문열 지음,813.6 이36ㅂ v.10,2014.11.27,2014.12.04
147,A100374,,대륙의 한. 2,이문열 지음,,2014.12.04,2014.12.11
148,A100374,,변경. 12,이문열 지음,813.6 이36ㅂ v.12,2014.12.04,2014.12.11
149,A100007,,(존 가트맨·최성애 박사의)내 아이를 위한 감정코칭,존 가트맨;최성애;조벽 [공]지음,598.1 가887ㄴ,2014.12.08,2014.12.11
150,A100007,,(세계 1등을 키워낸)그 어머니들의 자녀교육 심리,강현식;박지영 지음,598.1 강94ㄱ,2014.12.08,2014.12.11
151,A100085,,해를 품은 달. 1,정은궐 지음,813.7 정67ㅎ v.1c.2,2014.12.11,2014.12.22
152,A100374,,얼음나무 숲,하지은 지음,813.708 하78ㅇ,2015.02.05,2015.02.12
153,A100494,,그들은 자신들이 자유롭다고 생각했다,밀턴 마이어 지음 ;박중서 옮김,925.073 마68ㄱ,2015.02.06,2015.03.19
154,A100212,,프랑스 아이처럼,파멜라 드러커맨 지음;이주혜 옮김,598.1 드294ㅍ,2015.02.11,2015.05.08
155,A100374,,비밀 정원,박혜영 지음,813.6 박94ㅂ,2015.02.12,2015.03.12
156,A100374,,1Q84. 3,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ v.3c.3,2015.02.12,2015.03.12
157,A100447,,유럽 여행 바이블,박현숙 ;이연수 ;김유진 [공] 지음,,2015.02.12,2016.02.03
158,A100447,,Best of Europe 230,장백관 지음,982.02 장43ㅂ,2015.02.12,2016.02.03
159,A100447,,유럽에서 꼭 가봐야 할 여행지 100,정보상 지음,982.02 정45ㅇ,2015.02.12,2016.02.03
160,A100008,,엑셀,하주석;윤신례,005.3 하76ㅇ,2015.03.11,2015.03.13
161,A100008,,(전문과정) 엑셀 2010,IT 도서 R&D팀 엮음,005.53 아68ㅇ,2015.03.11,2015.03.13
162,A100374,,가스라기. 1,진산 지음,813.6 진52ㄱ v.1,2015.03.12,2015.03.19
163,A100374,,여자 없는 남자들,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ,2015.03.12,2015.09.17
164,A100374,,가스라기. 2,진산 지음,813.6 진52ㄱ v.2,2015.03.12,2015.03.19
165,A100409,,2014 논술기출문제 모범답안. 下,씨앤에이논술 연구팀 엮음,802 씨63ㅇ v.2,2015.03.13,2015.11.13
166,A100374,,빨간 장화,에쿠니 가오리 지음;신유희 옮김,833.6 에876ㅃ c.2,2015.03.19,2015.09.17
167,A100374,,색채가 없는 다자키 쓰쿠루와 그가 순례를 떠난 해,무라카미 하루키 지음 ;양억관 옮김,833.6 무292ㅅ,2015.03.19,2015.09.17
168,A100146,,1Q84. 1,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ v.1c.3,2015.03.26,2015.04.09
169,A100146,,맨발의 꿈,주경희 글;한재홍 그림;캠프B;쇼박스 원작,813.8 주14ㅁ c.2,2015.03.26,2015.04.09
170,A100146,,책 읽는 도깨비,이상배 글;백명식 그림,813.8 이51ㅊ c.2,2015.03.26,2015.04.09
171,A100146,,우리 아빠는 꼬랑내나는 발가락 시인,김현태 글;전종문 그림,813.8 김94ㅇ c.2,2015.03.26,2015.04.09
172,A100321,,(대하소설) 혼불. 1,최명희 지음,813.6 최34ㅎ v.1,2015.03.26,2015.07.08
173,A100321,,"멈추면, 비로소 보이는 것들",혜민 지음;우창헌 그림,220.4 혜38ㅁ,2015.03.26,2015.07.08
174,A100321,,(대하소설) 혼불. 3,최명희 지음,813.6 최34ㅎ v.3,2015.03.26,2015.07.08
175,A100321,,기초 연기 수업,안재범 지음,681.6 안73ㄱ,2015.03.26,2015.07.08
176,A100146,,사춘기 악마들,케빈 리먼 지음;김세영 옮김,598.1 리34ㅅ,2015.04.09,2015.04.23
177,A100146,,풀빵엄마,노경희 지음;김령하 그림,813.8 노14ㅍ,2015.04.09,2015.05.07
178,A100146,,돌담 너머 비밀의 집,오채 지음;정지윤 그림,813.8 오82ㄷ,2015.04.09,2015.05.07
179,A100146,,해리엇,한윤섭 지음 ;서영아 그림,813.8 한66ㅎ,2015.04.09,2015.05.07
180,A100357,,북경예술견문록,김도연 지음,609.12 김25ㅂ,2015.04.10,2015.04.24
181,A100416,,서울 Seoul 여행사전,"김숙현,김우선,김희은,박동식,유연태,유정열,이동미,정철훈,황교익 공저",,2015.04.10,2015.04.14
182,A100416,,(주말이 기다려지는)행복한 걷기여행,김영록;박미경 [공] 지음,981.102 김64ㅎ,2015.04.10,2015.04.22
183,A100416,,두근두근 서울산책,이하람 지음,981.1602 이92ㄷ,2015.04.10,2015.04.22
184,A100146,,밥상에 오른 수학,이광연 지음;노희성 그림,100 410 이15ㅂ c.3,2015.04.23,2015.05.14
185,A100146,,(세계 1등을 키워낸)그 어머니들의 자녀교육 심리,강현식;박지영 지음,598.1 강94ㄱ,2015.04.23,2015.05.14
186,A100362,,수업이 바뀌면 학교가 바뀐다,사토마나부 편;손우정 옮김,370.8 사885ㅅ,2015.04.29,2015.07.03
187,A100146,,나의 주인으로 살아가는 법,방정환 원작;장정희 지음;여미경 그림,813.8 방74ㄴ,2015.05.07,2015.05.28
188,A100146,,아우야 세상엔 바보란 없단다,안의정 지음,813.8 안67ㅇ,2015.05.07,2015.05.28
189,A100146,,일수의 탄생,유은실 글;서현 그림,813.8 유67ㅇ,2015.05.07,2015.05.18
190,A100212,,(민사고 형제 엄마의) 줄탁동시 학습법,김미석 지음,598.1 김38ㅈ,2015.05.08,2015.06.10
191,A100109,,왜 나는 너를 사랑하는가,알랭 드 보통 지음;정영목 옮김,,2015.05.12,2015.06.01
192,A100412,,우리는 소박하게 산다,세실 앤드류스;완다 우르반스카 [공]엮음;김은영 옮김,198 앤27ㅇ,2015.05.14,2015.07.06
193,A100146,,마법 같은 선물이야,황선미 글;이고은 그림,813.8 황54ㅁ,2015.05.28,2015.06.17
194,A100146,,고작해야 364일,황선미 지음;김수정 그림,813.8 황54ㄱ,2015.05.28,2015.06.17
195,A100146,,혼자일 때만 들리는 소리,조향미 지음,813.8 조93ㅎ,2015.05.28,2015.06.17
196,A100146,,항아리,정호승 지음,813.8 정95ㅎ,2015.05.28,2015.06.17
197,A100146,,사막여우가 어린 왕자에게,자림 글 ;신철 그림,813.8 자298ㅅ,2015.05.28,2015.06.17
198,A100088,,조선 왕을 말하다,이덕일 지음,911.05 이24ㅈ,2015.06.02,2015.07.13
199,A100088,,조선 왕을 말하다. 2,이덕일 지음,911.05 이24ㅈ v.2,2015.06.02,2015.07.13
200,A100088,,(한권으로 읽는) 조선왕조실록,박영규 지음,,2015.06.02,2015.07.13
201,A100088,,(내일을 읽는 토론학교)역사,이인석;정행렬 외 지음,911 이68ㅇ,2015.06.02,2015.07.13
202,A100212,,(세계 1등을 키워낸)그 어머니들의 자녀교육 심리,강현식;박지영 지음,598.1 강94ㄱ c.2,2015.06.10,2015.07.16
203,A100475,,외등,박범신 지음,813.6 박44외,2015.06.10,2015.07.09
204,A100232,,1Q84. 1,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ v.1c.2,2015.06.11,2015.07.01
205,A100232,,1Q84. 3,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ v.3c.3,2015.06.11,2015.06.11
206,A100146,,(MBC 스페셜) 공룡의 땅. 1,MBC제작,457 엠48ㄱ v.1,2015.06.18,2015.07.02
207,A100162,,(발명 지도교사를 위한) 발명과 지식재산 교육론,저자명: 특허청;한국발명진흥회,507.5 특94ㅂ,2015.06.19,2015.07.06
208,A100162,,발명교육학 기초,강종표 지음,507.5 강75ㅂ,2015.06.19,2015.07.06
209,A100162,,(로봇 박사 한재권이 말하는)로봇 정신,한재권 지음,559.962 한73ㄹ,2015.06.19,2015.07.06
210,A100162,,휴보이즘,전승민 저,559.962 전57ㅎ,2015.06.19,2015.07.06
211,A100162,,(33가지 프로젝트로 배우는)아두이노,사이먼 몽크;윤진서 옮김,559.962 몽877ㅇ,2015.06.19,2015.07.06
212,A100162,,메이커스,크리스 앤더슨 지음;윤태경 옮김,325.1 앤24ㅁ,2015.06.19,2015.07.06
213,A100146,,(최인호의) 인생,최인호 지음;조금희 그림,814.6 최68ㅇ,2015.06.26,2015.07.10
214,A100070,,어디선가 나를 찾는 전화벨이 울리고,신경숙 지음,고 813.6 신14ㅇ,2015.06.29,2015.07.01
215,A100070,,내 심장을 쏴라,정유정 [지음],고 813.6 정67ㄴ,2015.06.29,2015.07.01
216,A100362,,우리 시대 최고의 뮤지컬 22,김형중 지음,674.2 김94ㅇ,2015.07.03,2015.12.11
217,A100121,,(프렌즈)타이완,조현숙 지음,981.2402 조94ㅌ,2015.07.09,2015.08.19
218,A100361,,(프렌즈) 하와이,중앙books 편집부 지음,986.802 중62ㅎ,2015.07.09,2015.12.17
219,A100475,,은어낚시통신,윤대녕 지음,813.6 윤23ㅇ,2015.07.09,2015.07.22
220,A100475,,단 한 번의 사랑,김홍신 지음,813.6 김95다,2015.07.09,2015.07.14
221,A100388,,이클립스,스테프니 메이어 지음;윤정숙 옮김,843 메68ㅇ,2015.07.21,2015.08.06
222,A100162,,(세상을 변화시키는 새로운 혁명) 3D 프린터,이기훈;장수영;이소영;서민호 지음,004.76 이18ㅅ,2015.08.05,2015.11.09
223,A100146,,글로벌 거지 부부,박건우,818 박14ㄱ,2015.08.12,2015.09.14
224,A100475,,우리들의 향기,(주)다우디케이 임직원 엮음,811.6 임78ㅇ,2015.08.17,2015.08.17
225,A100212,,마음을 다스리는 명상,인드라 초한 지음 ;장운갑 옮김,199.1 초92ㅁ,2015.08.27,2015.12.09
226,A100521,,군주론,니콜로 마키아벨리 지음;신철희 옮김,340.265 마878ㄱ,2015.09.02,2015.12.10
227,A100521,,내 생에 꼭 하루뿐일 특별한 날,전경린 지음,813.6 전14ㄴ,2015.09.02,2015.12.10
228,A100161,,공허한 십자가,히가시노 게이고 지음 ;이선희 옮김,833.6 히12ㄱ,2015.09.10,2015.10.23
229,A100516,,당신의 말,김성태 ...[등]지음,802.5 김54ㄷ,2015.09.10,2015.10.13
230,A100516,,비키니 화법,문석현 지음,325.26 문54ㅂ,2015.09.10,2015.10.13
231,A100361,,스노우맨,요 네스뵈 지음;노진선 옮김,859.82 네57ㅅ,2015.09.16,2016.06.10
232,A100475,,조선과학실록,이성규 지음,911.05 이54ㅈ,2015.09.25,2015.10.08
233,A100475,,조약의 세계사,함규진 지음,909 함16ㅈ,2015.09.25,2015.10.05
234,A100475,,경성아리랑 . 2: 3·1만세 운동에서 1922년 4월 박헌영 체포까지,유병윤;김용석;임경석 글;유병윤 그림,911.06 유44ㄱ v.2,2015.09.25,2015.11.03
235,A100475,,경성아리랑 . 1: 박헌영의 어린 시절과 경성고보 시절(1918년)까지,유병윤;김용석;임경석 글;유병윤 그림,911.06 유44ㄱ v.1,2015.09.25,2015.11.03
236,A100146,,엄마를 부탁해,신경숙 지음,813.6 신14ㅇ,2015.10.01,2015.10.12
237,A100453,,"강신주의 다상담. 2: 일, 정치, 폴지마",강신주 지음,186.3 강58ㄱ v.2,2015.10.07,2015.10.08
238,A100453,,"강신주의 다상담. 1: 사랑, 몸, 고독",강신주 지음,186.3 강58ㄱ v.1,2015.10.08,2015.10.20
239,A100146,,(우리 아이)자존감의 비밀,조세핀 킴 지음,598.1 킴75ㅈ,2015.10.12,2015.11.19
240,A100146,,세 가지 소원,박완서 지음,818 세222,2015.10.12,2015.10.19
